ID,Name,Icon,Scale,DisplayID,ModelFileID,FileName
1,Wrathful Gladiator's Frost Wyrm,ability_mount_redfrostwyrm_01,1,31047,234824,creature/ridingundeaddrake/ridingundeaddrake.m2
2,Reins of the Volcanic Stone Drake,inv_misc_stonedragonred,1,35551,400759,creature/dragondeepholm/dragondeepholmmount.m2
3,Reins of the Drake of the East Wind,inv_misc_stormdragonred,1,35757,406462,creature/dragonskywall/dragonskywallmount.m2
4,Reins of the Drake of the West Wind,inv_misc_stormdragongreen,1,35754,406462,creature/dragonskywall/dragonskywallmount.m2
5,Reins of the Drake of the North Wind,inv_misc_stormdragonpale,1,35553,406462,creature/dragonskywall/dragonskywallmount.m2
6,Reins of the Drake of the South Wind,inv_misc_stormdragonpurple,1,35755,406462,creature/dragonskywall/dragonskywallmount.m2
7,Reins of the Phosphorescent Stone Drake,inv_misc_stonedragonpurple,1,35740,400759,creature/dragondeepholm/dragondeepholmmount.m2
8,Reins of the Vitreous Stone Drake,inv_misc_stonedragonblue,1,35751,400759,creature/dragondeepholm/dragondeepholmmount.m2
9,Reins of the Dark Phoenix,inv_mount_darkphoenixa,1,37145,402149,creature/darkphoenix/darkphoenixmount.m2
10,Reins of the Drake of the West Wind,inv_misc_stormdragongreen,1,35754,406462,creature/dragonskywall/dragonskywallmount.m2
11,Mottled Drake,ability_mount_drake_bronze,1,37231,234564,creature/drakemount/drakemount.m2
12,Amani Dragonhawk,ability_hunter_pet_dragonhawk,1.6,37800,234547,creature/dragonhawk/dragonhawkmount.m2
13,Flameward Hippogryph,ability_mount_warhippogryph,1,38018,511879,creature/pyrogryph/pyrogryph.m2
14,Smoldering Egg of Millagazor,inv_misc_orb_05,1,38031,514089,creature/firehawk/firehawk_mount.m2
15,Felfire Hawk,inv_misc_summerfest_braziergreen,1,38032,514089,creature/firehawk/firehawk_mount.m2
16,Corrupted Egg of Millagazor,inv_misc_orb_04,0.9,38046,514089,creature/firehawk/firehawk_mount.m2
17,Winged Guardian,inv_mount_wingedlion,1,169,124637,creature/infernal/infernal.m2
18,Vicious Gladiator's Twilight Drake,ability_mount_drake_twilight,1,38756,519559,creature/drakemount/armoredtwilightdrake.m2
19,Ruthless Gladiator's Twilight Drake,ability_mount_drake_twilight,1,38755,519559,creature/drakemount/armoredtwilightdrake.m2
20,Corrupted Hippogryph,ability_mount_warhippogryph,1,38972,538457,creature/felhippogryph/felhippogryphmount.m2
21,Blazing Hippogryph,ability_mount_warhippogryph,1,31803,366703,creature/hippogryph/burnthippogryph.m2
22,Tyrael's Charger,ability_mount_tyraelmount,1,39530,576471,creature/tyraelmount/tyraelmount.m2
23,Spectral Gryphon,ability_mount_spectralgryphon,1,39546,537287,creature/spectralgryphon/spectralgryphon.m2
24,Spectral Wind Rider,ability_mount_spectralwyvern,1,39547,537523,creature/spectralwyvern/spectralwyvern.m2
25,Reins of the Blazing Drake,ability_mount_drake_red,1,39561,528687,creature/reddrakemount/reddrakemount.m2
26,Reins of the Twilight Harbinger,ability_mount_drake_red,1,39562,528687,creature/reddrakemount/reddrakemount.m2
27,Life-Binder's Handmaiden,ability_mount_drake_red,1,39563,528687,creature/reddrakemount/reddrakemount.m2
28,Experiment 12-B,ability_mount_drake_twilight,1,39229,234564,creature/drakemount/drakemount.m2
29,Heart of the Aspects,inv_dragonchromaticmount,1,40029,576063,creature/dragonchromaticmount/dragonchromaticmount.m2
30,Feldrake,ability_mount_feldrake,1,40568,587735,creature/drakemount/feldrakemount.m2
31,Reins of the Jade Cloud Serpent,inv_pandarenserpentmount_green,1,40590,587703,creature/pandarenserpent/pandarenserpentmount.m2
32,Pandaren Kite String,item_spellcloththread,0.5,41903,604250,creature/pandarenkitemount/pandarenkitemount.m2
33,Jeweled Onyx Panther,ability_mount_onyxpanther,1.65,42185,603356,creature/onyxpanther/onyxpanther.m2
34,Ruby Panther,ability_mount_onyxpanther_red,1.5,42499,603356,creature/onyxpanther/onyxpanther.m2
35,Jade Panther,ability_mount_onyxpanther_green,1.5,42502,603356,creature/onyxpanther/onyxpanther.m2
36,Sunstone Panther,ability_mount_onyxpanther_yellow,1.5,42501,603356,creature/onyxpanther/onyxpanther.m2
37,Sapphire Panther,ability_mount_onyxpanther_blue,1.5,42500,603356,creature/onyxpanther/onyxpanther.m2
38,Reins of the Golden Cloud Serpent,inv_pandarenserpentmount_yellow,1.15,19455,124765,creature/lasherorchid/lasherorchid.m2
39,Reins of the Azure Cloud Serpent,inv_pandarenserpentmount_blue,1,41989,587703,creature/pandarenserpent/pandarenserpentmount.m2
40,Reins of the Thundering Jade Cloud Serpent,inv_pandarenserpentmount_lightning_green,1,43562,651718,creature/pandarenserpent/pandarenserpentmount_lightning.m2
41,Cataclysmic Gladiator's Twilight Drake,ability_mount_drake_twilight,1,38757,519559,creature/drakemount/armoredtwilightdrake.m2
42,Imperial Quilen,ability_mount_quilenflyingmount,0.55,67149,1281272,creature/valkier2_dark/valkier2_dark.m2
43,Depleted-Kyparium Rocket,ability_mount_rocketmount3,1.1,43637,646321,creature/rocketmount3/rocketmount3.m2
44,Geosynchronous World Spinner,ability_mount_rocketmount4,1.1,43638,646574,creature/rocketmount4/rocketmount4.m2
45,Reins of the Onyx Cloud Serpent,inv_pandarenserpentmount_blue,1,41990,587703,creature/pandarenserpent/pandarenserpentmount.m2
46,Reins of the Crimson Cloud Serpent,inv_pandarenserpentmount,1,41592,587703,creature/pandarenserpent/pandarenserpentmount.m2
47,Reins of the Heavenly Onyx Cloud Serpent,inv_pandarenserpentgodmount_black,1,43689,610662,creature/pandarenserpentgod/pandarenserpentgodmount.m2
48,Reins of the Heavenly Crimson Cloud Serpent,inv_pandarenserpentgodmount_red,1,43692,610662,creature/pandarenserpentgod/pandarenserpentgodmount.m2
49,Reins of the Heavenly Golden Cloud Serpent,inv_pandarenserpentgodmount_gold,1,43693,610662,creature/pandarenserpentgod/pandarenserpentgodmount.m2
50,"Yu'lei, Daughter of Jade",ability_monk_summonserpentstatue,1,43695,610662,creature/pandarenserpentgod/pandarenserpentgodmount.m2
51,Reins of the Heavenly Azure Cloud Serpent,inv_bluegodcloudserpent,1,43697,610662,creature/pandarenserpentgod/pandarenserpentgodmount.m2
